line_orientation,stimulus_offset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
diagonal2,0.75,0,0,0,15,5.497293513999466,None,6.010486519999176,None,space,7.1179140990007,6.768076095999277,None,0,001,2021_Jul_09_1158,compare_lines,2021.1.4,60.008440547240006,
vertical,0.0,0,1,1,1,13.901512713999182,None,14.4015894260996,None,space,0.8334896770011255,14.401413175000926,None,0,001,2021_Jul_09_1158,compare_lines,2021.1.4,60.008440547240006,
diagonal1,0.0,0,2,2,2,15.252457578999383,None,15.751504264099276,None,space,0.5009526850008115,15.751504345000285,None,0,001,2021_Jul_09_1158,compare_lines,2021.1.4,60.008440547240006,
diagonal1,1.0,0,3,3,18,16.268279939000422,None,16.768028223999863,None,space,0.5838583210006618,17.768027379999694,None,0,001,2021_Jul_09_1158,compare_lines,2021.1.4,60.008440547240006,
diagonal2,0.0,0,4,4,3,18.36823232700044,None,18.867983684100544,None,space,0.5007030830001895,18.867905479999536,None,0,001,2021_Jul_09_1158,compare_lines,2021.1.4,60.008440547240006,
vertical,1.0,0,5,5,17,19.38479421900047,None,19.88480897500085,None,space,0.5839775950007606,20.88479381599973,None,0,001,2021_Jul_09_1158,compare_lines,2021.1.4,60.008440547240006,
diagonal1,0.25,0,6,6,6,21.484812377000708,None,21.984757426000215,None,space,0.7338511380003183,22.23476744800064,None,0,001,2021_Jul_09_1158,compare_lines,2021.1.4,60.008440547240006,
diagonal2,0.25,0,7,7,7,22.98472356899947,None,23.48484863900012,None,space,0.633717564998733,23.734825994000857,None,0,001,2021_Jul_09_1158,compare_lines,2021.1.4,60.008440547240006,
,,,,,,24.384811620999244,None,24.88475310800095,None,,,,,,,,,,,
